,word,pos,lemma
743,scored,VVN,score
744,Everton,NP,Everton
745,v,NN,v
746,Sheffield,NP,Sheffield
747,Wednesday,NP,Wednesday
748,Wembley,NP,Wembley
749,Stadium,NP,Stadium
750,1966,CD,@card@
751,F,NN,F
752,A,DT,a
753,Cup,NP,Cup
754,Final,JJ,final
755,goal,NN,goal
756,scored,VVN,score
757,Everton,NP,Everton
758,v,NN,v
759,Sheffield,NP,Sheffield
760,Wednesday,NP,Wednesday
761,Wembley,NP,Wembley
762,Stadium,NP,Stadium
763,1966,CD,@card@
764,F,NN,F
765,A,DT,a
766,Cup,NP,Cup
767,Final,JJ,final
768,goal,NN,goal
769,scored,VVN,score
770,Everton,NP,Everton
771,v,NN,v
772,Sheffield,NP,Sheffield
773,Wednesday,NP,Wednesday
774,Wembley,NP,Wembley
775,Stadium,NP,Stadium
776,1966,CD,@card@
777,F,NN,F
778,A,DT,a
779,Cup,NP,Cup
780,Final,JJ,final
781,half-time,NN,half-time
782,whistle,NN,whistle
783,Everton,NP,Everton
784,v,NN,v
785,Sheffield,NP,Sheffield
786,Wednesday,NP,Wednesday
787,Wembley,NP,Wembley
788,Stadium,NP,Stadium
789,1966,CD,@card@
790,F,NN,F
791,A,DT,a
792,Cup,NP,Cup
793,Final,NP,Final
794,infringement,NN,infringement
795,Everton,NP,Everton
796,v,NN,v
797,Sheffield,NP,Sheffield
798,Wednesday,NP,Wednesday
799,Wembley,NP,Wembley
800,Stadium,NP,Stadium
801,1966,CD,@card@
802,F,NN,F
803,A,DT,a
804,Cup,NP,Cup
805,Final,NP,Final
806,near,RB,near
807,miss,VVP,miss
808,Everton,NP,Everton
809,v,NN,v
810,Sheffield,NP,Sheffield
811,Wednesday,NP,Wednesday
812,Wembley,NP,Wembley
813,Stadium,NP,Stadium
814,1966,CD,@card@
815,F,NN,F
816,A,DT,a
817,Cup,NP,Cup
818,Final,NP,Final
819,off-side,NP,off-side
820,Everton,NP,Everton
821,v,NN,v
822,Sheffield,NP,Sheffield
823,Wednesday,NP,Wednesday
824,Wembley,NP,Wembley
825,Stadium,NP,Stadium
826,1966,CD,@card@
827,F,NN,F
828,A,DT,a
829,Cup,NP,Cup
830,Final,JJ,final
831,whistle,NN,whistle
832,and,CC,and
833,boos,VVZ,boo
834,Everton,NP,Everton
835,v,NN,v
836,Sheffield,NP,Sheffield
837,Wednesday,NP,Wednesday
838,Wembley,NP,Wembley
839,Stadium,NP,Stadium
840,1d,JJ,1d
841,Chocolate,NN,chocolate
842,Machine,NN,machine
843,1d,JJ,1d
844,in,IN,in
845,slot,NN,slot
846,of,IN,of
847,a,DT,a
848,pre-war,JJ,pre-war
849,Weighing,VVG,weigh
850,Machine,NN,machine
851,2,CD,@card@
852,1,CD,@card@
853,/,SYM,/
854,4,CD,@card@
855,year,NN,year
856,old,JJ,old
857,baby,NN,baby
858,girl,NN,girl
859,talking,VVG,talk
860,nonsense,NN,nonsense
861,and,CC,and
862,asking,VVG,ask
863,questions,NNS,question
864,2,CD,@card@
865,3,CD,@card@
866,/,SYM,/
867,4,CD,@card@
868,year,NN,year
869,old,JJ,old
870,baby,NN,baby
871,girl,NN,girl
872,Reciting,VVG,recite
873,nonsense,JJ,nonsense
874,nursery,NN,nursery
875,rhymes,NNS,rhyme
876,;,:,;
877,ends,VVZ,end
878,with,IN,with
879,farewells,NNS,farewell
880,2,CD,@card@
881,3,CD,@card@
882,/,SYM,/
883,4,CD,@card@
884,year,NN,year
885,old,JJ,old
886,baby,NN,baby
887,girl,NN,girl
888,Saying,VVG,say
889,please,RB,please
890,and,CC,and
891,thank,VV,thank
892,you,PP,you
893,2,CD,@card@
894,3,CD,@card@
895,/,SYM,/
896,4,CD,@card@
897,year,NN,year
898,old,JJ,old
899,baby,NN,baby
900,girl,NN,girl
901,Talking,VVG,talk
902,nonsense,NN,nonsense
903,looking,VVG,look
904,at,IN,at
905,picture,NN,picture
906,book,NN,book
907,2,CD,@card@
908,3,CD,@card@
909,/,SYM,/
910,4,CD,@card@
911,year,NN,year
912,old,JJ,old
913,baby,NN,baby
914,girl,NN,girl
915,Talking,VVG,talk
916,nonsense,JJ,nonsense
917,playing,NN,playing
918,with,IN,with
919,toys,NNS,toy
920,2,CD,@card@
921,people,NNS,people
922,clambering,VVG,clamber
923,over,IN,over
924,loose,JJ,loose
925,debris,NN,debris
926,2,CD,@card@
927,people,NNS,people
928,in,IN,in
929,ski,JJ,ski
930,boots,NNS,boot
931,walking,VVG,walk
932,down,RP,down
933,snow,NN,snow
934,slope,NN,slope
935,2,CD,@card@
936,people,NNS,people
937,in,IN,in
938,ski,JJ,ski
939,boots,NNS,boot
940,walking,VVG,walk
941,up,RP,up
942,snow,NN,snow
943,slope,NN,slope
944,2,CD,@card@
945,small,JJ,small
946,splashes,NNS,splash
947,2,CD,@card@
948,year,NN,year
949,old,JJ,old
950,baby,NN,baby
951,girl,NN,girl
952,Chattering,VVG,chatter
953,2,CD,@card@
954,year,NN,year
955,old,JJ,old
956,baby,NN,baby
957,girl,NN,girl
958,Crying,VVG,cry
959,2,CD,@card@
960,year,NN,year
961,old,JJ,old
962,baby,NN,baby
963,girl,NN,girl
964,Giggling,VVG,giggle
965,2,CD,@card@
966,year,NN,year
967,old,JJ,old
968,baby,NN,baby
969,girl,NN,girl
970,Looking,VVG,look
971,at,IN,at
972,picture,NN,picture
973,book,NN,book
974,pages,NNS,page
975,turned,VVD,turn
976,2,CD,@card@
977,year,NN,year
978,old,JJ,old
979,baby,NN,baby
980,girl,NN,girl
981,Talking,VVG,talk
982,and,CC,and
983,crying,VVG,cry
984,20,CD,@card@
985,cwt,JJ,cwt
986,Massey,NP,Massey
987,drop,NN,drop
988,hammer,NN,hammer
989,20,CD,@card@
990,week,NN,week
991,old,JJ,old
992,baby,NN,baby
993,girl,NN,girl
994,Tired,JJ,tired
995,and,CC,and
996,irritable,JJ,irritable
997,crying,VVG,cry
998,20,CD,@card@
999,week,NN,week
1000,old,JJ,old
1001,baby,NN,baby
1002,girl,NN,girl
1003,Very,JJ,Very
1004,irritable,JJ,irritable
1005,crying,VVG,cry
1006,200,CD,@card@
1007,year,NN,year
1008,old,JJ,old
1009,village,NN,village
1010,pump,NN,pump
1011,filling,VVG,fill
1012,bucket,NN,bucket
